machine_id,date,location,operating_hours,fuel_consumed_liters,idle_time_minutes,avg_speed_kmh,engine_hours_total,fault_code
JD-001,2024-01-01,Pune,8.79,83.72,25.27,6.16,168.59,NONE
JD-001,2024-01-02,Pune,10.93,119.61,46.54,5.41,179.52,NONE
JD-001,2024-01-03,Pune,11.76,137.36,27.44,8.64,191.28,NONE
JD-001,2024-01-04,Pune,5.47,54.66,39.48,13.64,196.74,NONE
JD-001,2024-01-05,Pune,6.33,69.49,24.63,10.84,203.07,NONE
JD-001,2024-01-06,Pune,6.93,72.65,49.51,8.99,210.01,NONE
JD-001,2024-01-07,Pune,8.11,88.57,21.05,17.15,218.12,NONE
JD-001,2024-01-08,Pune,5.36,49.54,55.81,24.31,223.48,NONE
JD-001,2024-01-09,Pune,10.47,104.66,23.02,18.68,233.95,NONE
JD-001,2024-01-10,Pune,7.52,70.83,38.34,5.69,241.47,NONE
JD-001,2024-01-11,Pune,11.27,111.09,44.78,11.23,252.75,NONE
JD-001,2024-01-12,Pune,8.16,87.89,26.38,24.39,260.91,NONE
JD-001,2024-01-13,Pune,10.2,122.64,53.73,16.96,271.11,NONE
JD-001,2024-01-14,Pune,11.37,105.91,26.81,5.9,282.48,NONE
JD-001,2024-01-15,Pune,6.6,67.79,29.71,21.57,289.09,NONE
JD-001,2024-01-16,Pune,6.85,68.02,40.17,7.82,295.94,NONE
JD-001,2024-01-17,Pune,10.42,96.53,57.28,20.44,306.36,NONE
JD-001,2024-01-18,Pune,5.59,50.57,50.67,19.14,311.95,NONE
JD-001,2024-01-19,Pune,9.83,112.93,22.11,12.17,321.78,NONE
JD-001,2024-01-20,Pune,4.93,58.03,43.27,11.62,326.71,NONE
JD-001,2024-01-21,Pune,4.51,45.17,31.79,19.59,331.21,NONE
JD-001,2024-01-22,Pune,9.1,107.89,37.45,7.39,340.31,NONE
JD-001,2024-01-23,Pune,9.71,111.16,40.88,20.42,350.02,NONE
JD-001,2024-01-24,Pune,7.95,85.02,35.73,5.51,357.97,E001
JD-001,2024-01-25,Pune,4.86,44.39,43.78,11.29,362.83,NONE
JD-001,2024-01-26,Pune,8.07,96.18,28.86,13.21,370.9,NONE
JD-001,2024-01-27,Pune,10.04,98.01,22.23,10.8,380.95,NONE
JD-001,2024-01-28,Pune,5.29,63.43,50.39,17.67,386.24,NONE
JD-001,2024-01-29,Pune,10.97,127.16,26.45,22.85,397.21,NONE
JD-001,2024-01-30,Pune,8.31,96.46,53.78,11.36,405.52,NONE
JD-001,2024-01-31,Pune,4.88,47.61,35.71,21.36,410.4,NONE
JD-001,2024-02-01,Pune,10.89,98.52,38.94,13.35,421.29,NONE
JD-001,2024-02-02,Pune,5.78,54.36,32.27,23.86,427.07,E002
JD-001,2024-02-03,Pune,6.59,70.35,46.34,12.27,433.65,NONE
JD-001,2024-02-04,Pune,11.77,142.41,28.96,14.94,445.43,NONE
JD-001,2024-02-05,Pune,6.41,63.66,20.68,17.19,451.83,NONE
JD-001,2024-02-06,Pune,8.02,73.74,29.99,23.17,459.85,NONE
JD-001,2024-02-07,Pune,5.92,56.15,38.12,24.71,465.77,NONE
JD-001,2024-02-08,Pune,5.94,66.31,48.6,9.75,471.71,NONE
JD-001,2024-02-09,Pune,9.83,100.23,43.62,17.67,481.53,NONE
JD-001,2024-02-10,Pune,8.29,77.2,51.44,11.42,489.82,NONE
JD-001,2024-02-11,Pune,5.49,50.3,42.02,18.55,495.31,NONE
JD-001,2024-02-12,Pune,4.13,44.06,27.99,17.9,499.44,NONE
JD-001,2024-02-13,Pune,5.39,60.59,34.16,23.73,504.84,NONE
JD-001,2024-02-14,Pune,5.1,51.59,23.63,23.49,509.94,NONE
JD-001,2024-02-15,Pune,11.02,108.54,44.68,21.34,520.96,NONE
JD-001,2024-02-16,Pune,8.44,90.46,28.58,6.86,529.4,NONE
JD-001,2024-02-17,Pune,11.18,132.99,43.65,11.78,540.58,NONE
JD-001,2024-02-18,Pune,6.79,77.05,53.82,22.74,547.37,NONE
JD-001,2024-02-19,Pune,10.24,113.39,22.5,8.23,557.61,NONE
JD-001,2024-02-20,Pune,11.19,122.64,19.61,7.03,568.8,NONE
JD-001,2024-02-21,Pune,9.31,84.19,25.46,15.97,578.11,NONE
JD-001,2024-02-22,Pune,9.54,105.9,27.9,19.24,587.64,E001
JD-001,2024-02-23,Pune,5.9,59.37,48.02,17.99,593.54,NONE
JD-001,2024-02-24,Pune,10.79,120.07,41.15,6.87,604.33,NONE
JD-001,2024-02-25,Pune,6.94,68.54,28.66,24.46,611.28,NONE
JD-001,2024-02-26,Pune,7.14,84.82,43.57,20.9,618.42,NONE
JD-001,2024-02-27,Pune,8.02,87.16,38.23,8.9,626.44,NONE
JD-001,2024-02-28,Pune,9.78,97.05,20.2,17.91,636.22,NONE
JD-001,2024-02-29,Pune,5.42,65.14,56.01,23.3,641.64,E003
JD-001,2024-03-01,Pune,6.96,63.19,55.02,13.56,648.6,NONE
JD-001,2024-03-02,Pune,11.73,141.96,52.12,10.89,660.33,NONE
JD-001,2024-03-03,Pune,7.08,83.13,31.47,8.39,667.41,NONE
JD-001,2024-03-04,Pune,8.45,101.55,46.07,16.4,675.87,NONE
JD-001,2024-03-05,Pune,4.78,52.5,57.4,7.8,680.64,NONE
JD-001,2024-03-06,Pune,8.15,96.33,47.8,18.94,688.79,NONE
JD-001,2024-03-07,Pune,9.62,97.87,30.57,21.19,698.41,NONE
JD-001,2024-03-08,Pune,10.48,123.59,54.44,15.23,708.89,NONE
JD-001,2024-03-09,Pune,8.01,92.72,44.3,19.04,716.9,NONE
JD-001,2024-03-10,Pune,10.37,122.99,32.28,12.51,727.27,NONE
JD-001,2024-03-11,Pune,4.75,51.66,20.65,14.31,732.02,E001
JD-001,2024-03-12,Pune,8.34,82.92,42.02,5.61,740.36,NONE
JD-001,2024-03-13,Pune,4.3,50.08,33.14,7.54,744.66,NONE
JD-001,2024-03-14,Pune,8.18,93.9,27.57,17.46,752.84,NONE
JD-001,2024-03-15,Pune,4.68,43.05,39.73,15.81,757.52,NONE
JD-001,2024-03-16,Pune,9.1,103.21,56.85,15.33,766.62,NONE
JD-001,2024-03-17,Pune,6.58,76.12,29.69,13.78,773.21,NONE
JD-001,2024-03-18,Pune,4.63,42.15,56.34,21.72,777.83,NONE
JD-001,2024-03-19,Pune,9.57,98.85,25.94,8.13,787.4,NONE
JD-001,2024-03-20,Pune,6.0,64.69,46.79,18.2,793.4,NONE
JD-001,2024-03-21,Pune,6.24,75.32,47.69,16.09,799.64,NONE
JD-001,2024-03-22,Pune,8.89,92.19,28.8,12.12,808.54,NONE
JD-001,2024-03-23,Pune,10.06,91.31,23.73,5.92,818.6,NONE
JD-001,2024-03-24,Pune,4.33,50.85,46.37,14.48,822.93,NONE
JD-001,2024-03-25,Pune,4.78,50.67,37.5,8.46,827.71,NONE
JD-001,2024-03-26,Pune,7.47,76.94,42.98,17.7,835.18,E003
JD-001,2024-03-27,Pune,4.36,44.59,43.37,15.06,839.54,NONE
JD-001,2024-03-28,Pune,10.85,120.75,25.54,6.41,850.39,NONE
JD-001,2024-03-29,Pune,9.14,83.29,41.83,23.8,859.53,NONE
JD-001,2024-03-30,Pune,8.6,88.32,44.04,14.17,868.14,NONE
JD-001,2024-03-31,Pune,8.36,100.62,34.13,24.22,876.5,NONE
JD-001,2024-04-01,Pune,11.24,108.52,21.93,7.02,887.74,NONE
JD-001,2024-04-02,Pune,4.15,38.68,45.57,6.42,891.89,NONE
JD-001,2024-04-03,Pune,6.55,76.79,20.16,21.29,898.44,NONE
JD-001,2024-04-04,Pune,6.25,58.83,46.1,17.58,904.7,NONE
JD-001,2024-04-05,Pune,11.02,125.3,50.21,10.64,915.72,E003
JD-001,2024-04-06,Pune,5.42,61.89,50.34,24.81,921.14,NONE
JD-001,2024-04-07,Pune,7.3,74.57,49.17,11.82,928.44,E002
JD-001,2024-04-08,Pune,11.45,134.65,35.79,20.02,939.88,NONE
JD-001,2024-04-09,Pune,10.04,93.91,54.03,15.11,949.92,NONE
JD-001,2024-04-10,Pune,10.61,106.63,53.76,12.78,960.53,NONE
JD-001,2024-04-11,Pune,4.09,48.69,22.78,11.39,964.62,NONE
JD-001,2024-04-12,Pune,11.6,139.87,41.35,17.64,976.22,NONE
JD-001,2024-04-13,Pune,7.59,75.59,31.92,18.45,983.81,NONE
JD-001,2024-04-14,Pune,10.02,115.73,49.68,6.82,993.82,NONE
JD-001,2024-04-15,Pune,7.96,73.28,40.43,13.83,1001.78,NONE
JD-001,2024-04-16,Pune,11.1,112.65,23.77,7.86,1012.88,NONE
JD-001,2024-04-17,Pune,10.09,111.0,23.16,6.68,1022.97,NONE
JD-001,2024-04-18,Pune,9.61,88.97,50.92,19.12,1032.58,E001
JD-001,2024-04-19,Pune,4.65,43.25,57.27,12.49,1037.23,NONE
JD-001,2024-04-20,Pune,6.97,80.92,55.75,24.72,1044.2,NONE
JD-001,2024-04-21,Pune,10.03,102.55,22.48,20.54,1054.22,NONE
JD-001,2024-04-22,Pune,8.47,87.89,54.17,7.22,1062.69,NONE
JD-001,2024-04-23,Pune,7.94,71.98,37.31,6.13,1070.63,NONE
JD-001,2024-04-24,Pune,4.95,46.55,44.27,19.92,1075.58,NONE
JD-001,2024-04-25,Pune,8.67,104.82,33.7,10.71,1084.25,NONE
JD-001,2024-04-26,Pune,10.95,106.65,56.37,5.24,1095.2,NONE
JD-001,2024-04-27,Pune,11.76,107.78,53.59,15.55,1106.96,NONE
JD-001,2024-04-28,Pune,11.94,110.64,40.6,24.39,1118.9,NONE
JD-001,2024-04-29,Pune,8.18,90.31,46.06,14.09,1127.09,NONE
JD-001,2024-04-30,Pune,9.02,98.24,53.97,5.91,1136.11,NONE
JD-001,2024-05-01,Pune,6.25,75.33,53.55,14.11,1142.35,NONE
JD-001,2024-05-02,Pune,8.96,88.83,26.51,14.27,1151.32,NONE
JD-001,2024-05-03,Pune,6.83,74.33,22.26,24.49,1158.14,NONE
JD-001,2024-05-04,Pune,11.89,133.8,39.91,11.19,1170.03,NONE
JD-001,2024-05-05,Pune,10.51,117.83,25.52,23.22,1180.54,NONE
JD-001,2024-05-06,Pune,10.58,127.55,47.22,17.27,1191.12,E001
JD-001,2024-05-07,Pune,7.35,88.16,52.62,5.9,1198.47,NONE
JD-001,2024-05-08,Pune,4.21,43.07,50.48,24.75,1202.68,NONE
JD-001,2024-05-09,Pune,5.2,56.83,33.93,24.4,1207.88,NONE
JD-001,2024-05-10,Pune,10.74,125.62,37.32,13.3,1218.62,NONE
JD-001,2024-05-11,Pune,6.19,56.97,52.57,21.26,1224.81,NONE
JD-001,2024-05-12,Pune,12.0,146.42,40.66,20.38,1236.81,E001
JD-001,2024-05-13,Pune,11.56,135.65,28.79,14.01,1248.36,NONE
JD-001,2024-05-14,Pune,5.03,60.74,42.61,9.57,1253.4,NONE
